Clock frequency is approx. 666.7 MHz
Memory mountain (MB/sec)
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	
32.0M  343.0    190.6    152.4    126.0    130.2    125.2    108.3    99.1    86.7    85.2    81.8    92.8    80.9    76.4    74.8    82.2    72.5    74.1    72.7    83.3    72.4    73.1    73.3    80.4    71.3    73.0    72.7    82.1    72.1    72.7    72.9    78.9    71.3    72.6    72.3    81.3    71.5    72.3    72.4    78.3    70.4    72.8    71.8    80.4    71.3    71.5    72.1    77.4    69.7    71.5    71.4    79.8    70.6    71.2    71.2    76.6    70.0    71.4    70.9    78.9    70.4    70.9    71.4    77.0    
24.0M  344.0    190.1    153.7    127.4    129.0    123.2    108.8    99.1    87.0    85.6    81.9    92.9    80.8    76.1    75.0    82.2    72.6    72.3    72.5    83.4    72.4    73.2    73.1    80.4    71.0    72.3    72.5    82.2    72.0    72.5    72.8    78.8    70.0    72.0    72.2    81.2    71.4    72.6    72.2    78.1    69.5    72.5    71.7    80.7    71.6    71.2    71.9    77.8    70.3    71.5    71.3    79.8    71.1    70.9    71.8    76.9    69.9    72.0    70.9    78.8    70.4    70.5    71.9    77.1    
16.0M  346.3    189.8    150.5    132.6    128.9    126.0    108.7    99.1    87.0    84.6    81.6    92.5    80.9    76.5    74.9    82.3    72.0    73.2    72.5    83.2    72.3    73.3    73.1    80.3    70.0    72.8    72.6    82.0    71.7    71.3    73.0    78.1    69.9    72.5    72.1    81.4    71.6    72.0    72.5    78.5    69.7    72.3    71.6    80.5    71.2    71.9    72.2    77.7    69.7    71.9    71.7    79.6    70.7    70.7    71.7    76.8    69.4    71.9    71.4    78.7    70.4    71.6    71.7    77.4    
12.0M  344.8    190.3    151.0    131.7    129.0    126.1    108.9    99.1    86.7    80.7    81.5    92.8    80.7    76.1    75.0    81.6    72.5    74.0    72.5    82.8    72.1    74.0    73.3    80.7    71.7    72.0    72.4    82.2    72.0    71.6    73.0    78.6    71.4    72.0    72.5    81.3    71.5    71.3    72.5    78.1    70.0    71.8    71.5    80.4    71.1    71.0    72.2    77.6    69.5    71.3    71.5    79.7    70.7    70.7    71.7    76.6    69.3    71.1    70.8    78.6    70.3    70.4    71.8    77.6    
8.0M  344.4    191.5    141.0    131.3    130.2    125.8    108.6    99.0    87.1    82.4    81.4    92.8    80.8    75.3    74.7    82.2    72.7    72.4    72.9    83.4    72.4    71.9    73.3    80.7    71.7    72.4    72.2    82.3    71.9    73.0    72.8    79.2    71.3    72.0    71.9    81.2    71.5    71.3    72.3    78.3    70.8    71.7    71.5    80.2    71.3    71.0    72.1    77.4    70.5    71.4    71.6    79.4    70.9    70.8    71.7    76.7    69.5    71.9    71.0    78.7    70.7    71.7    71.8    77.1    
6.0M  345.2    190.9    154.1    132.9    130.2    126.1    108.4    99.2    87.0    85.7    81.8    91.9    80.9    75.3    75.2    82.2    72.0    72.3    72.4    83.2    72.4    73.8    73.1    80.6    71.5    72.0    72.1    82.0    71.9    72.9    72.8    77.8    69.8    72.4    72.3    81.0    71.4    71.4    72.4    78.4    70.9    72.8    72.2    80.5    71.4    72.0    72.0    77.6    70.0    71.8    72.1    79.8    71.3    71.9    72.1    77.6    70.9    72.5    72.1    79.4    71.2    72.5    72.4    77.1    
5.5M  341.8    191.0    148.1    129.9    128.1    126.1    108.5    99.2    87.0    85.9    81.7    92.7    80.8    75.7    75.1    82.0    71.5    72.3    72.5    83.3    72.3    71.9    73.1    80.5    69.9    72.0    72.1    82.1    71.8    72.8    72.7    79.2    69.9    71.9    72.4    81.2    71.4    71.5    72.4    78.4    69.8    72.8    72.0    80.6    71.6    72.2    72.3    78.0    70.7    72.2    72.3    79.8    71.3    72.4    72.3    78.1    71.2    72.5    72.4    79.8    71.9    72.9    73.0    74.4    
5.2M  345.9    190.8    153.1    133.6    127.8    126.1    108.8    99.0    86.9    80.8    82.0    92.8    80.7    75.7    75.2    82.2    71.8    74.2    72.4    83.2    72.3    71.9    73.1    80.4    71.5    71.9    72.1    82.1    71.9    72.9    72.7    79.2    71.4    71.9    71.9    81.2    71.7    71.7    72.5    78.8    70.1    72.9    72.4    80.7    71.4    71.8    72.5    78.2    70.4    72.2    72.5    80.1    71.7    72.7    72.7    78.4    71.7    72.9    73.1    79.9    71.9    72.9    73.3    77.0    
5.0M  343.3    191.7    149.3    130.0    128.1    126.0    108.8    99.1    86.7    80.8    81.6    92.8    80.9    76.5    75.1    82.1    71.5    73.4    72.3    83.0    72.4    71.7    73.2    80.3    71.5    73.2    72.1    82.0    71.8    72.8    72.9    79.1    71.2    73.0    72.0    81.1    71.5    72.5    72.4    78.7    71.0    72.2    72.5    80.6    71.5    72.6    72.5    78.3    71.2    72.5    72.7    80.6    72.2    72.5    73.0    78.6    71.8    73.1    73.4    80.2    72.4    73.4    74.1    77.0    
4.0M  343.2    191.7    143.2    131.3    129.9    125.9    108.8    99.1    85.4    85.1    81.6    92.7    80.6    75.1    75.0    82.1    72.5    72.2    72.3    83.0    72.2    73.7    73.2    80.3    71.5    72.1    72.8    82.1    72.0    73.1    72.9    78.7    71.4    72.4    72.5    81.8    72.0    72.4    73.1    79.6    70.9    73.2    73.6    81.4    72.6    73.7    73.8    80.1    72.3    74.2    74.4    81.7    74.0    74.8    75.0    81.0    73.7    75.5    76.0    82.3    75.1    76.5    77.0    76.6    
2.0M  343.6    192.9    157.1    134.1    131.3    126.1    108.8    99.5    87.4    85.8    81.9    92.6    80.6    76.7    75.0    82.8    71.8    74.2    73.9    84.3    73.2    74.6    74.9    83.6    73.6    75.8    76.0    86.6    75.8    77.4    77.8    79.2    77.1    80.3    80.8    90.0    80.4    83.5    84.5    93.3    82.2    84.6    86.9    96.5    86.3    91.3    92.2    99.3    90.1    97.6    97.9    106.7    95.6    100.6    103.3    110.0    100.3    109.3    110.4    115.2    108.8    118.9    107.7    76.2    
1.0M  352.6    204.9    136.0    149.8    138.7    131.5    112.4    103.9    92.0    89.7    86.8    96.4    85.3    82.9    80.6    89.5    79.3    82.3    84.4    96.2    84.4    90.7    93.3    105.8    92.0    100.9    102.7    112.6    103.4    109.8    115.3    85.3    110.1    123.2    122.9    139.1    123.0    129.4    129.4    145.1    139.4    146.4    144.8    148.6    128.4    136.1    156.5    155.4    144.1    149.0    147.0    163.6    154.3    159.4    166.2    165.3    160.7    167.6    160.7    168.2    171.5    167.7    146.2    81.1    
512.0K   388.1    237.1    203.9    175.6    176.3    165.0    143.3    136.6    128.9    126.8    125.0    131.2    126.7    119.7    120.7    128.0    120.5    128.4    136.4    144.4    134.4    148.6    152.6    166.6    155.6    157.6    164.7    168.7    160.5    158.9    163.2    122.3    167.4    164.2    156.5    169.1    170.0    164.6    159.8    169.1    168.5    169.0    171.0    168.6    164.5    165.2    167.6    173.6    165.5    169.0    166.9    169.0    170.2    167.9    170.0    168.1    167.0    170.5    169.7    166.9    166.1    171.2    171.1    116.6    
256.0K   420.6    267.4    242.9    218.5    217.5    206.7    188.9    189.8    188.2    193.6    187.0    181.4    186.7    167.1    178.9    181.0    170.0    168.1    171.7    169.9    170.9    170.0    172.6    173.0    171.7    167.9    174.9    173.8    170.7    170.4    170.5    164.7    173.9    176.8    179.0    175.6    174.1    174.2    182.8    176.3    183.0    179.3    179.2    185.0    171.4    183.4    184.2    158.7    193.0    189.5    193.5    192.4    190.6    200.1    198.0    207.9    202.4    208.6    208.8    209.1    208.9    207.7    173.7    157.6    
192.0K   411.0    262.9    242.4    219.1    216.5    206.2    188.3    188.7    188.1    191.5    184.7    179.1    182.9    173.4    177.2    178.2    171.5    173.3    172.9    171.7    176.1    174.6    174.9    172.3    175.6    176.6    178.7    175.6    176.8    176.2    184.6    161.6    188.9    185.8    186.4    194.7    185.4    195.5    185.8    195.2    202.9    208.9    195.9    201.0    172.1    205.4    223.0    156.0    205.9    192.7    243.5    239.1    245.5    258.4    251.1    258.3    229.7    253.0    261.6    264.5    254.3    198.4    183.9    149.3    
128.0K   411.3    261.4    241.0    214.9    212.4    202.6    184.6    183.4    181.8    174.9    180.2    175.2    173.4    175.7    174.6    170.3    176.3    177.4    178.8    180.2    177.7    189.9    175.1    188.7    193.3    197.6    200.9    196.7    213.8    215.1    228.0    155.9    231.7    245.0    182.4    214.0    257.2    255.3    193.3    269.2    224.8    260.6    239.3    273.1    190.9    192.7    273.9    159.7    274.3    183.7    294.5    279.6    263.9    267.5    242.7    279.5    278.8    274.4    272.9    263.1    272.4    203.7    179.0    129.9    
64.0K   440.7    283.5    248.8    219.8    213.4    202.1    186.3    174.3    176.7    180.6    180.2    196.8    192.7    214.3    215.0    158.4    228.5    223.4    233.2    267.6    239.9    168.1    217.6    284.6    225.3    272.2    262.9    229.9    271.7    263.2    204.4    136.7    204.0    259.2    255.3    207.7    251.3    246.3    243.4    242.5    175.4    245.1    235.8    210.0    218.7    216.5    218.1    183.4    217.0    179.7    198.6    206.0    188.4    196.1    198.9    195.2    181.6    192.0    190.7    188.1    178.6    164.6    179.9    106.7    
32.0K   606.3    440.8    377.4    320.0    288.5    256.7    247.4    224.5    247.9    261.2    258.8    280.0    281.0    273.1    269.4    175.6    265.9    259.9    246.1    241.9    241.1    204.2    190.3    224.7    187.4    208.7    205.8    207.4    196.5    193.8    163.5    133.0    162.9    169.7    180.1    158.4    158.0    148.5    162.2    156.6    136.8    146.3    147.4    132.4    137.5    130.9    135.4    136.4    136.6    126.0    120.3    126.1    125.7    120.2    120.8    117.9    119.6    112.5    108.0    110.1    106.6    99.4    105.8    82.9    
